"item","condition","response","subject","group_G","type","ambiguity_G","verb_G","order","verb","group","prime_target"
"36","E3I36D1",0,"Native 1","Native","Experimental","Ambiguous","Same",1,-1,-1,"Ambiguous/Ambiguous"
"31","E4I31D1",1,"Native 1","Native","Experimental","Unambiguous","Different",2,1,-1,"Unambiguous/Unambiguous"
"32","E5I32D1",1,"Native 1","Native","Experimental","Ambiguous","Different",3,1,-1,"Unambiguous/Ambiguous"
"34","E1I34D1",1,"Native 1","Native","Experimental","Unambiguous","Same",4,-1,-1,"Unambiguous/Unambiguous"
"33","E6I33D1",1,"Native 1","Native","Experimental","Ambiguous","Different",5,1,-1,"Ambiguous/Ambiguous"
"35","E2I35D1",1,"Native 1","Native","Experimental","Ambiguous","Same",6,-1,-1,"Unambiguous/Ambiguous"
"28","E1I28D1",1,"Native 1","Native","Experimental","Unambiguous","Same",7,-1,-1,"Unambiguous/Unambiguous"
"29","E2I29D1",1,"Native 1","Native","Experimental","Ambiguous","Same",8,-1,-1,"Unambiguous/Ambiguous"
"30","E3I30D1",1,"Native 1","Native","Experimental","Ambiguous","Same",9,-1,-1,"Ambiguous/Ambiguous"
"26","E5I26D1",1,"Native 1","Native","Experimental","Ambiguous","Different",10,1,-1,"Unambiguous/Ambiguous"
"27","E6I27D1",0,"Native 1","Native","Experimental","Ambiguous","Different",11,1,-1,"Ambiguous/Ambiguous"
"25","E4I25D1",1,"Native 1","Native","Experimental","Unambiguous","Different",12,1,-1,"Unambiguous/Unambiguous"
"21","E6I21D1",1,"Native 1","Native","Experimental","Ambiguous","Different",13,1,-1,"Ambiguous/Ambiguous"
"23","E2I23D1",1,"Native 1","Native","Experimental","Ambiguous","Same",14,-1,-1,"Unambiguous/Ambiguous"
"22","E1I22D1",0,"Native 1","Native","Experimental","Unambiguous","Same",15,-1,-1,"Unambiguous/Unambiguous"
"24","E3I24D1",1,"Native 1","Native","Experimental","Ambiguous","Same",16,-1,-1,"Ambiguous/Ambiguous"
"19","E4I19D1",1,"Native 1","Native","Experimental","Unambiguous","Different",17,1,-1,"Unambiguous/Unambiguous"
"20","E5I20D1",1,"Native 1","Native","Experimental","Ambiguous","Different",18,1,-1,"Unambiguous/Ambiguous"
"13","E4I13D1",1,"Native 1","Native","Experimental","Unambiguous","Different",19,1,-1,"Unambiguous/Unambiguous"
"16","E1I16D1",1,"Native 1","Native","Experimental","Unambiguous","Same",20,-1,-1,"Unambiguous/Unambiguous"
"18","E3I18D1",0,"Native 1","Native","Experimental","Ambiguous","Same",21,-1,-1,"Ambiguous/Ambiguous"
"15","E6I15D1",1,"Native 1","Native","Experimental","Ambiguous","Different",22,1,-1,"Ambiguous/Ambiguous"
"14","E5I14D1",1,"Native 1","Native","Experimental","Ambiguous","Different",23,1,-1,"Unambiguous/Ambiguous"
"17","E2I17D1",1,"Native 1","Native","Experimental","Ambiguous","Same",24,-1,-1,"Unambiguous/Ambiguous"
"7","E4I7D1",1,"Native 1","Native","Experimental","Unambiguous","Different",25,1,-1,"Unambiguous/Unambiguous"
"10","E1I10D1",1,"Native 1","Native","Experimental","Unambiguous","Same",26,-1,-1,"Unambiguous/Unambiguous"
"8","E5I8D1",1,"Native 1","Native","Experimental","Ambiguous","Different",27,1,-1,"Unambiguous/Ambiguous"
"9","E6I9D1",0,"Native 1","Native","Experimental","Ambiguous","Different",28,1,-1,"Ambiguous/Ambiguous"
"12","E3I12D1",0,"Native 1","Native","Experimental","Ambiguous","Same",29,-1,-1,"Ambiguous/Ambiguous"
"11","E2I11D1",1,"Native 1","Native","Experimental","Ambiguous","Same",30,-1,-1,"Unambiguous/Ambiguous"
"2","E5I2D1",1,"Native 1","Native","Experimental","Ambiguous","Different",31,1,-1,"Unambiguous/Ambiguous"
"3","E6I3D1",1,"Native 1","Native","Experimental","Ambiguous","Different",32,1,-1,"Ambiguous/Ambiguous"
"6","E3I6D1",1,"Native 1","Native","Experimental","Ambiguous","Same",33,-1,-1,"Ambiguous/Ambiguous"
"5","E2I5D1",1,"Native 1","Native","Experimental","Ambiguous","Same",34,-1,-1,"Unambiguous/Ambiguous"
"4","E1I4D1",1,"Native 1","Native","Experimental","Unambiguous","Same",35,-1,-1,"Unambiguous/Unambiguous"
"1","E4I1D1",1,"Native 1","Native","Experimental","Unambiguous","Different",36,1,-1,"Unambiguous/Unambiguous"
"36","E3I36D1",0,"Native 2","Native","Experimental","Ambiguous","Same",1,-1,-1,"Ambiguous/Ambiguous"
"31","E4I31D1",1,"Native 2","Native","Experimental","Unambiguous","Different",2,1,-1,"Unambiguous/Unambiguous"
"32","E5I32D1",0,"Native 2","Native","Experimental","Ambiguous","Different",3,1,-1,"Unambiguous/Ambiguous"
"34","E1I34D1",1,"Native 2","Native","Experimental","Unambiguous","Same",4,-1,-1,"Unambiguous/Unambiguous"
"33","E6I33D1",0,"Native 2","Native","Experimental","Ambiguous","Different",5,1,-1,"Ambiguous/Ambiguous"
"35","E2I35D1",1,"Native 2","Native","Experimental","Ambiguous","Same",6,-1,-1,"Unambiguous/Ambiguous"
"28","E1I28D1",1,"Native 2","Native","Experimental","Unambiguous","Same",7,-1,-1,"Unambiguous/Unambiguous"
"29","E2I29D1",1,"Native 2","Native","Experimental","Ambiguous","Same",8,-1,-1,"Unambiguous/Ambiguous"
"30","E3I30D1",1,"Native 2","Native","Experimental","Ambiguous","Same",9,-1,-1,"Ambiguous/Ambiguous"
"26","E5I26D1",1,"Native 2","Native","Experimental","Ambiguous","Different",10,1,-1,"Unambiguous/Ambiguous"
"27","E6I27D1",0,"Native 2","Native","Experimental","Ambiguous","Different",11,1,-1,"Ambiguous/Ambiguous"
"25","E4I25D1",1,"Native 2","Native","Experimental","Unambiguous","Different",12,1,-1,"Unambiguous/Unambiguous"
"21","E6I21D1",0,"Native 2","Native","Experimental","Ambiguous","Different",13,1,-1,"Ambiguous/Ambiguous"
"23","E2I23D1",1,"Native 2","Native","Experimental","Ambiguous","Same",14,-1,-1,"Unambiguous/Ambiguous"
"22","E1I22D1",0,"Native 2","Native","Experimental","Unambiguous","Same",15,-1,-1,"Unambiguous/Unambiguous"
"24","E3I24D1",0,"Native 2","Native","Experimental","Ambiguous","Same",16,-1,-1,"Ambiguous/Ambiguous"
"19","E4I19D1",0,"Native 2","Native","Experimental","Unambiguous","Different",17,1,-1,"Unambiguous/Unambiguous"
"20","E5I20D1",0,"Native 2","Native","Experimental","Ambiguous","Different",18,1,-1,"Unambiguous/Ambiguous"
"13","E4I13D1",1,"Native 2","Native","Experimental","Unambiguous","Different",19,1,-1,"Unambiguous/Unambiguous"
"16","E1I16D1",1,"Native 2","Native","Experimental","Unambiguous","Same",20,-1,-1,"Unambiguous/Unambiguous"
"18","E3I18D1",1,"Native 2","Native","Experimental","Ambiguous","Same",21,-1,-1,"Ambiguous/Ambiguous"
"15","E6I15D1",1,"Native 2","Native","Experimental","Ambiguous","Different",22,1,-1,"Ambiguous/Ambiguous"
"14","E5I14D1",0,"Native 2","Native","Experimental","Ambiguous","Different",23,1,-1,"Unambiguous/Ambiguous"
"17","E2I17D1",1,"Native 2","Native","Experimental","Ambiguous","Same",24,-1,-1,"Unambiguous/Ambiguous"
"7","E4I7D1",1,"Native 2","Native","Experimental","Unambiguous","Different",25,1,-1,"Unambiguous/Unambiguous"
"10","E1I10D1",1,"Native 2","Native","Experimental","Unambiguous","Same",26,-1,-1,"Unambiguous/Unambiguous"
"8","E5I8D1",0,"Native 2","Native","Experimental","Ambiguous","Different",27,1,-1,"Unambiguous/Ambiguous"
"9","E6I9D1",1,"Native 2","Native","Experimental","Ambiguous","Different",28,1,-1,"Ambiguous/Ambiguous"
"12","E3I12D1",1,"Native 2","Native","Experimental","Ambiguous","Same",29,-1,-1,"Ambiguous/Ambiguous"
"11","E2I11D1",1,"Native 2","Native","Experimental","Ambiguous","Same",30,-1,-1,"Unambiguous/Ambiguous"
"2","E5I2D1",0,"Native 2","Native","Experimental","Ambiguous","Different",31,1,-1,"Unambiguous/Ambiguous"
